label,audio_file,image_file,width,height
Antbird,new_train_audio_20s/Antbird/XC1054647.ogg,raw_spectrogram_images/Antbird/XC1054647.png,1996,513
Antbird,new_train_audio_20s/Antbird/XC125527.ogg,raw_spectrogram_images/Antbird/XC125527.png,1996,513
Antbird,new_train_audio_20s/Antbird/XC128567.ogg,raw_spectrogram_images/Antbird/XC128567.png,1997,513
Antbird,new_train_audio_20s/Antbird/XC131600.ogg,raw_spectrogram_images/Antbird/XC131600.png,1996,513
Antbird,new_train_audio_20s/Antbird/XC139971.ogg,raw_spectrogram_images/Antbird/XC139971.png,1997,513
Antbird,new_train_audio_20s/Antbird/XC140004.ogg,raw_spectrogram_images/Antbird/XC140004.png,1997,513
Antbird,new_train_audio_20s/Antbird/XC145449.ogg,raw_spectrogram_images/Antbird/XC145449.png,1997,513
Antbird,new_train_audio_20s/Antbird/XC15004.ogg,raw_spectrogram_images/Antbird/XC15004.png,1997,513
Antbird,new_train_audio_20s/Antbird/XC150803.ogg,raw_spectrogram_images/Antbird/XC150803.png,1997,513
Antbird,new_train_audio_20s/Antbird/XC172124.ogg,raw_spectrogram_images/Antbird/XC172124.png,1997,513
Bird of prey,new_train_audio_20s/Bird of prey/XC1003367.ogg,raw_spectrogram_images/Bird of prey/XC1003367.png,1997,513
Bird of prey,new_train_audio_20s/Bird of prey/XC1012391.ogg,raw_spectrogram_images/Bird of prey/XC1012391.png,1997,513
Bird of prey,new_train_audio_20s/Bird of prey/XC1053927.ogg,raw_spectrogram_images/Bird of prey/XC1053927.png,1997,513
Bird of prey,new_train_audio_20s/Bird of prey/XC113948.ogg,raw_spectrogram_images/Bird of prey/XC113948.png,1997,513
Bird of prey,new_train_audio_20s/Bird of prey/XC116247.ogg,raw_spectrogram_images/Bird of prey/XC116247.png,1996,513
Bird of prey,new_train_audio_20s/Bird of prey/XC117517.ogg,raw_spectrogram_images/Bird of prey/XC117517.png,1997,513
Bird of prey,new_train_audio_20s/Bird of prey/XC144163.ogg,raw_spectrogram_images/Bird of prey/XC144163.png,1997,513
