file_name,Usage,label
1.png,Private,Flycatcher
2.png,Public,Bird of prey
3.png,Private,Flycatcher
4.png,Private,Flycatcher
5.png,Public,Flycatcher
6.png,Public,Parrot
7.png,Public,Flycatcher
8.png,Public,Other non-passerine bird
9.png,Public,Nocturnal bird
10.png,Public,Other non-passerine bird
11.png,Private,Antbird
12.png,Private,Nocturnal bird
13.png,Public,Parrot
14.png,Private,Flycatcher
15.png,Public,Other non-passerine bird
16.png,Private,Water-associated bird
17.png,Private,Other non-passerine bird
18.png,Private,Antbird
19.png,Private,Nocturnal bird
20.png,Private,Nocturnal bird
21.png,Private,Flycatcher
22.png,Private,Flycatcher
23.png,Public,Other non-passerine bird
24.png,Private,Other non-passerine bird
25.png,Public,Other non-passerine bird
26.png,Private,Flycatcher
27.png,Private,Tanager
28.png,Public,Other non-passerine bird
29.png,Private,Parrot
30.png,Private,Flycatcher
31.png,Private,Flycatcher
32.png,Private,Other non-passerine bird
33.png,Public,Bird of prey
34.png,Public,Flycatcher
35.png,Public,Flycatcher
36.png,Private,Bird of prey
37.png,Private,Bird of prey
38.png,Private,Flycatcher
39.png,Private,Flycatcher
40.png,Public,Other non-passerine bird
41.png,Public,Flycatcher
42.png,Private,Flycatcher
43.png,Private,Other non-passerine bird
44.png,Private,Tanager
45.png,Public,Other non-passerine bird
46.png,Private,Antbird
47.png,Public,Flycatcher
48.png,Public,Water-associated bird
49.png,Public,Water-associated bird
50.png,Public,Antbird
51.png,Public,Other non-passerine bird
52.png,Public,Tanager
53.png,Private,Ground bird
54.png,Private,Parrot
55.png,Private,Tanager
56.png,Private,Other non-passerine bird
57.png,Private,Water-associated bird
58.png,Private,Ground bird
59.png,Public,Nocturnal bird
60.png,Public,Flycatcher
61.png,Public,Flycatcher
62.png,Private,Tanager
63.png,Private,Water-associated bird
64.png,Public,Flycatcher
65.png,Private,Parrot
66.png,Private,Bird of prey
67.png,Private,Flycatcher
68.png,Private,Tanager
69.png,Private,Other non-passerine bird
70.png,Public,Flycatcher
71.png,Public,Ground bird
72.png,Public,Parrot
73.png,Private,Nocturnal bird
74.png,Public,Nocturnal bird
75.png,Private,Other non-passerine bird
76.png,Private,Bird of prey
77.png,Public,Tanager
78.png,Private,Other non-passerine bird
79.png,Private,Other non-passerine bird
80.png,Private,Nocturnal bird
81.png,Public,Parrot
82.png,Private,Other non-passerine bird
83.png,Public,Tanager
84.png,Public,Flycatcher
85.png,Public,Nocturnal bird
86.png,Private,Nocturnal bird
87.png,Private,Other non-passerine bird
88.png,Private,Bird of prey
89.png,Public,Other non-passerine bird
90.png,Private,Other non-passerine bird
91.png,Private,Flycatcher
92.png,Public,Flycatcher
93.png,Private,Flycatcher
94.png,Private,Other non-passerine bird
95.png,Public,Tanager
96.png,Public,Tanager
97.png,Private,Other non-passerine bird
98.png,Public,Flycatcher
99.png,Public,Antbird
100.png,Private,Flycatcher
